alpha,beta,gama
-3.195793308095086e-06,-4.172324905190731e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.172324905190731e-06,1.065264372536987e-06
-2.663160836100405e-06,-4.053115622185282e-06,1.065264372536987e-06
-2.663160836100405e-06,-4.053115622185282e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.814697056174383e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.814697056174383e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.6954877731689336e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.6954877731689336e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.5762784901634838e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.5762784901634838e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.4570692071580344e-06,1.065264372536987e-06
-2.663160836100405e-06,-3.4570692071580344e-06,1.065264372536987e-06
-2.130528745073974e-06,-3.337859924152585e-06,1.065264372536987e-06
-2.130528745073974e-06,-3.337859924152585e-06,1.065264372536987e-06
-2.130528745073974e-06,-3.099441358141686e-06,1.065264372536987e-06
-2.130528745073974e-06,-3.099441358141686e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.9802320751362366e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.9802320751362366e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.9802320751362366e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.8610227921307873e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.8610227921307873e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.741813509125338e-06,1.065264372536987e-06
-2.130528745073974e-06,-2.741813509125338e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.622604226119888e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.622604226119888e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.622604226119888e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.622604226119888e-06,1.065264372536987e-06
-1.597896654047543e-06,-2.622604226119888e-06,1.065264372536987e-06
