x,y,z
0.0,0.0,0.0
-4.863732101512142e-07,3.895183908753097e-07,1.811981201171875e-05
-9.632099136069883e-07,7.656271918676794e-07,3.62396240234375e-05
-1.4305101103673223e-06,1.1324882507324219e-06,5.340576171875e-05
-1.8787368389894255e-06,1.484455424360931e-06,7.009506225585938e-05
-2.3269631128641777e-06,1.8239079508930445e-06,8.678436279296875e-05
-2.76565288004349e-06,2.146662154700607e-06,0.00010251998901367188
-3.194805685780011e-06,2.46197305386886e-06,0.000118255615234375
-3.6048854781256523e-06,2.766850229818374e-06,0.00013303756713867188
-4.014964815723943e-06,3.063083568122238e-06,0.00014734268188476562
-4.405971139931353e-06,3.3473988878540695e-06,0.00016164779663085938
-4.796977236765088e-06,3.6284327507019043e-06,0.00017499923706054688
-5.1784463721560314e-06,3.897846909239888e-06,0.00018835067749023438
-5.550379000851535e-06,4.159810487180948e-06,0.00020122528076171875
-5.912775122851599e-06,4.4149201130494475e-06,0.000213623046875
-6.265634283408872e-06,4.659596015699208e-06,0.00022554397583007812
-6.608956709897029e-06,4.899804480373859e-06,0.00023698806762695312
-6.9522791363851866e-06,5.13107079314068e-06,0.00024890899658203125
-7.2860648288042285e-06,5.350710125640035e-06,0.0002598762512207031
-7.610313730310736e-06,5.568566848523915e-06,0.0002703666687011719
-7.925025926169837e-06,5.780464562121779e-06,0.0002808570861816406
-8.239738164661503e-06,5.9825179050676525e-06,0.0002903938293457031
-8.544913654873199e-06,6.180409400258213e-06,0.00030040740966796875
-8.850089159295749e-06,6.3785919337533414e-06,0.00030994415283203125
-9.145727915438329e-06,6.569927791133523e-06,0.00031948089599609375
-9.431829880668374e-06,6.756192306056619e-06,0.00032806396484375
-9.708395282359561e-06,6.9350062403827906e-06,0.0003371238708496094
-9.984960456677072e-06,7.109942089300603e-06,0.0003457069396972656
-1.0251988896925468e-05,7.2789189289323986e-06,0.0003533363342285156
-1.0509480944165261e-05,7.443428330589086e-06,0.00036144256591796875
-1.0509480944165261e-05,7.443428330589086e-06,0.00036144256591796875
-1.0509480944165261e-05,7.443428330589086e-06,0.00036144256591796875
-1.0585774816718185e-05,7.4908166425302625e-06,0.0003628730773925781
-1.0652531955201994e-05,7.5256830314174294e-06,0.0003643035888671875
-1.0728825600381242e-05,7.567410648334771e-06,0.00036525726318359375
-1.0805119472934166e-05,7.614791684318334e-06,0.0003666877746582031
-1.0900487040998996e-05,7.665752491448075e-06,0.0003685951232910156
-1.1005391115759267e-05,7.723276212345809e-06,0.000370025634765625
-1.1110295190519537e-05,7.786751666571945e-06,0.0003724098205566406
-1.1224735999348923e-05,7.846952939871699e-06,0.0003743171691894531
-1.1339176808178308e-05,7.912814908195287e-06,0.0003771781921386719
-1.1463154123703134e-05,7.978975190781057e-06,0.0003795623779296875
-1.1587131893975311e-05,8.04782030172646e-06,0.0003819465637207031
-1.1730182905012043e-05,8.121729479171336e-06,0.0003848075866699219
-1.186369718197966e-05,8.195936970878392e-06,0.0003871917724609375
-1.2006748193016392e-05,8.27611074782908e-06,0.00039005279541015625
-1.2149799204053124e-05,8.358365448657423e-06,0.000392913818359375
-1.2292850442463532e-05,8.43942689243704e-06,0.00039577484130859375
-1.2445437732822029e-05,8.522569260094315e-06,0.0003991127014160156
-1.2588488971232437e-05,8.607807103544474e-06,0.0004019737243652344
-1.2741076716338284e-05,8.68857023306191e-06,0.0004048347473144531
-1.2893664461444132e-05,8.771421562414616e-06,0.000408172607421875
-1.304625220654998e-05,8.856062777340412e-06,0.00041103363037109375
-1.3198839951655827e-05,8.942188287619501e-06,0.0004143714904785156
-1.3351427696761675e-05,9.02742613106966e-06,0.0004177093505859375
-1.3504015441867523e-05,9.112656698562205e-06,0.0004210472106933594
-1.364706668027793e-05,9.196992323268205e-06,0.00042438507080078125
-1.3799653970636427e-05,9.279843652620912e-06,0.0004277229309082031
-1.3952241715742275e-05,9.363582648802549e-06,0.000431060791015625
-1.4104829460848123e-05,9.448522177990526e-06,0.0004343986511230469
-1.424788069925853e-05,9.534051059745252e-06,0.0004372596740722656
-1.4390931937668938e-05,9.616902389097959e-06,0.0004405975341796875
-1.4533982721331995e-05,9.700350346975029e-06,0.0004429817199707031
-1.4677033504995052e-05,9.78409661911428e-06,0.000446319580078125
-1.482008474340546e-05,9.864859748631716e-06,0.00044918060302734375
-1.4963135981815867e-05,9.943534678313881e-06,0.0004525184631347656
-1.5096649804036133e-05,1.002221688395366e-05,0.00045490264892578125
-1.523970104244654e-05,1.0100891813635826e-05,0.0004582405090332031
-1.5373215319414157e-05,1.017659087665379e-05,0.0004611015319824219
-1.5506729596381774e-05,1.024930679704994e-05,0.00046443939208984375
-1.5640244328096742e-05,1.0322029993403703e-05,0.0004673004150390625
-1.5764221188874217e-05,1.039444759953767e-05,0.00047016143798828125
-1.5897735465841834e-05,1.0466566891409457e-05,0.0004730224609375
-1.602171323611401e-05,1.0537798516452312e-05,0.0004763603210449219
-1.6145691006386187e-05,1.0608724551275373e-05,0.0004787445068359375
-1.6269668776658364e-05,1.0679061233531684e-05,0.00048160552978515625
-1.6384108675993048e-05,1.0748495697043836e-05,0.000484466552734375
-1.6508086446265224e-05,1.0817042493727058e-05,0.0004868507385253906
-1.661299029365182e-05,1.0884992661885917e-05,0.0004897117614746094
-1.6727432011975907e-05,1.095174957299605e-05,0.000492095947265625
-1.6841872820805293e-05,1.1023279512301087e-05,0.0004949569702148438
-1.6946775758697186e-05,1.1087649909313768e-05,0.0004978179931640625
-1.7061217477021273e-05,1.1150528735015541e-05,0.0005002021789550781
-1.7156584362965077e-05,1.1212519893888384e-05,0.0005025863647460938
-1.7261489119846374e-05,1.1276300938334316e-05,0.0005049705505371094
-1.736639296723297e-05,1.1335308954585344e-05,0.000507354736328125
-1.7461759853176773e-05,1.1394913599360734e-05,0.0005097389221191406
-1.7566663700563367e-05,1.14563008537516e-05,0.0005121231079101562
-1.7662031496001873e-05,1.151590549852699e-05,0.0005145072937011719
-1.7757398381945677e-05,1.1570147762540728e-05,0.0005168914794921875
-1.7852766177384183e-05,1.1623793398030102e-05,0.0005192756652832031
-1.794813397282269e-05,1.1683696357067674e-05,0.0005211830139160156
-1.80339638973237e-05,1.1738236935343593e-05,0.0005230903625488281
-1.8119794731319416e-05,1.179127866635099e-05,0.0005254745483398438
-1.821516161726322e-05,1.1845222616102546e-05,0.0005273818969726562
-1.8300992451258935e-05,1.1896481737494469e-05,0.0005297660827636719
-1.838682328525465e-05,1.1945659935008734e-05,0.0005316734313964844
-1.8463117157807574e-05,1.1992153304163367e-05,0.0005331039428710938
-1.8539411030360498e-05,1.2040130968671292e-05,0.0005350112915039062
-1.861570490291342e-05,1.2084237823728472e-05,0.0005369186401367188
-1.8691998775466345e-05,1.2129239621572196e-05,0.0005388259887695312
-1.876829264801927e-05,1.2177522876299918e-05,0.0005407333374023438
-1.8844586520572193e-05,1.2223412340972573e-05,0.0005421638488769531
-1.8920880393125117e-05,1.226633321493864e-05,0.0005440711975097656
-1.899717426567804e-05,1.2308948498684913e-05,0.0005459785461425781
-1.9063932086282875e-05,1.2349482858553529e-05,0.0005474090576171875
-1.9140225049341097e-05,1.2389711628202349e-05,0.00054931640625
-1.920698196045123e-05,1.2430842616595328e-05,0.0005502700805664062
-1.9264201910118572e-05,1.2470773071981966e-05,0.0005521774291992188
-1.9330959730723407e-05,1.2513984984252602e-05,0.000553131103515625
-1.939771664183354e-05,1.2553624401334673e-05,0.0005550384521484375
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9464473552943673e-05,1.2593860446941108e-05,0.0005564689636230469
-1.9521694412105717e-05,1.2626638635993004e-05,0.0005574226379394531
