ts,roll,pitch,yaw
2.055,-0.002477168984784624,-0.06861742421772818,0.08961385651239853
2.06,0.0727362847131808,-0.09301396488726149,-0.0006607136265698734
2.065,-0.10360541920029269,0.08574766563060733,0.1711000207465702
2.07,-0.12758584657368358,0.031515174647907526,0.03785489284251249
2.075,-0.14053364309584218,-0.12115882523687263,-0.049721611859538765
2.08,-0.07589236725725632,0.060499732905696234,-0.03331473091925682
2.085,-0.0075459942840089295,0.057662789232560754,-0.015176328328762792
2.09,-0.021332423338038677,-0.012905007005188622,0.02562118677288075
2.095,-0.10439550169880955,0.04225288460452335,0.2627451150236637
2.1,0.038866608198635376,0.03084316621356586,0.1884680880097575
2.105,0.011290249337127732,0.027629013875331374,-0.13091631349863303
2.11,0.011186727025581293,0.2597335911854276,-0.134030389750774
2.115,0.04663528217145578,-0.014371707737198843,0.06124594438995264
2.12,-0.07797238707337503,0.0008195436438908994,-0.0040815390621150175
2.125,0.06487386883718652,-0.04300461664196645,0.034085918094893045
2.13,0.0849825182892242,-0.14054921681714097,0.1274008732638141
2.135,0.1279289575511622,0.021881533186020343,-0.006208815036320629
2.14,0.11492219347187274,-0.0291914797606731,-0.13593740468853588
2.145,0.03516703723571051,0.091927100353295,-0.07395406104020734
2.15,0.05051611262851684,-0.06100733539516763,-0.02351522309573459
2.155,0.04603284630626393,0.21328993540994007,0.02997889441946222
2.16,0.06464396167618312,0.00569489346294712,-0.13408040191472445
2.165,-0.04997862549849269,-0.1882308711117154,-0.1026240483028098
2.17,-0.007972662737625423,-0.05579448243160281,0.1649343618552167
2.175,0.031790821800461284,0.07563237179662229,0.10645969298521024
2.18,0.0007180720199156829,0.03983939632172069,0.029334471214254754
2.185,0.01992742720548099,-0.18547014604870374,0.030396638697772205
2.19,0.15546672314729582,0.10830084597738521,-0.034255446164816225
2.195,0.19762608598767098,0.04516695269889302,0.0033332725984334937
2.2,-0.11615530833519692,-0.039913914284999644,0.09648843948870628
2.205,-0.0615704178296127,-0.056425511953112586,-0.0439870892727839
2.21,0.04392893515035348,0.06716753350940037,-0.21081753073603052
2.215,0.05916138607174514,0.005501452752980597,0.004171952009840338
2.22,0.12152372536407814,-0.03045895923556758,0.05810492231508731
2.225,-0.01341191054854212,-0.10881187042726582,-0.17921373301884544
2.23,0.03659019128013951,-0.004511191597764259,0.0241256181556404
2.235,-0.12442989674602888,0.05405163495462982,0.023125306118782267
2.24,-0.0648557391923373,-0.10307052480992235,-0.06063505813380896
2.245,-0.03740975285684863,0.0654755595709066,-0.16060137334347732
2.25,0.02515772781817311,0.08187810237273543,-0.034660450930565585
2.255,0.031536697050609935,-0.06643599938516143,0.10514527867925223
2.26,-0.11983269562519064,-0.06182660646488262,0.04558695661456176
2.265,0.021719366687727074,-0.08547399421202612,-0.03639567390967033
2.27,-0.0024229955235459595,0.17700432364013777,-0.10526099566166609
2.275,-0.0012891986865992237,-0.024855266449449166,-0.036468845855194804
2.28,0.11798750509552426,-0.10404796313735401,-0.03575055099891985
2.285,0.11429121099403994,0.026234908081578048,-0.027404580038133564
2.29,-0.0605287171965762,0.10760173830750745,0.00017765198122214008
2.295,0.020953649604745533,-0.12042696912941032,0.0789507166772009
2.3,-0.2851693020178391,0.13270985556506082,0.005084924964568062
2.305,0.009154263447565331,0.02052937421546822,0.03296400351650087
2.31,-0.0716719939290883,-0.09003740211842562,-0.14111348307876642
2.315,-0.07912657700847742,-0.03758468427908327,0.05295841731465803
2.32,-0.22200073750196028,-0.05018875656667684,0.08794424637604775
2.325,-0.1627642076970376,0.1251528282495214,0.0331731610614202
2.33,0.033389382396681884,0.018114437993901313,0.057339879540755825
